Stage	Description	Sort_by	Putative_cell_type	IDs
E15.5E_2_10	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_11	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_12	E15.5	P2_gate	EpCAM	hepatoblast/hepatocyte	5
E15.5E_2_13	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_14	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_15	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_16	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_17	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_18	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_2_19	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_3_01	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_3_02	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_3_03	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_3_04	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_3_05	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_3_06	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_3_07	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_3_08	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_01	E15.5	P2_gate	EpCAM	hepatoblast/hepatocyte	5
E15.5E_4_02	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_03	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_04	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_05	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_06	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_07	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_08	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_09	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_10	E15.5	P2_gate	EpCAM	cholangiocyte	5
E15.5E_4_11	E15.5	P2_gate	EpCAM	cholangiocyte	5
E17.5D_1_01	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_02	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_03	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_04	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_05	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_06	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_07	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_08	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_09	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_10	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_11	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_12	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_13	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_1_14	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_2_01	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_2_02	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_2_03	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_2_04	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_2_05	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_2_06	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_2_07	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_2_08	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_3_01	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_3_02	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_3_03	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_3_04	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_3_05	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_3_06	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_3_07	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_3_08	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_4_01	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_4_02	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_4_03	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_4_04	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5D_4_05	E17.5	P1_gate	DLK	hepatoblast/hepatocyte	7
E17.5E_1_01	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_02	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_03	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_04	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_05	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_06	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_07	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_08	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_09	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_10	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_11	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_12	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_13	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_14	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_1_15	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_3_01	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_3_02	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_3_03	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_3_04	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_01	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_02	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_03	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_04	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_05	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_06	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_07	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_08	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_09	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_10	E17.5	P2_gate	EpCAM	hepatoblast/hepatocyte	7
E17.5E_4_11	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_12	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_13	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_14	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_15	E17.5	P2_gate	EpCAM	cholangiocyte	7
E17.5E_4_16	E17.5	P2_gate	EpCAM	cholangiocyte	7
